i,tau,E
0,3964843870593.5337,0.00175
1,0.021502147290047343,0.28389
2,0.01215460621396245,0.5552
3,0.00918634280981166,0.81564
4,inf,0.93899
5,0.00768251813425271,1.06513
6,0.01832568153313744,1.22731
7,0.0069276050183656795,1.30352
8,0.009960664319385273,1.50615
9,0.006390073992116391,1.53054
10,0.006196036646268568,1.74579
11,0.00722102030880461,1.77458
12,0.006019735929583977,1.94872
13,0.005865748589796172,2.03256
14,0.005942315659152937,2.13862
15,0.005076980623602463,2.28018
16,0.005974806140035034,2.31457
17,0.0061675989756275204,2.47549
18,0.004569588340436179,2.51753
19,0.006614116899943076,2.62007
20,0.004232544909995635,2.74456
21,0.007124526155272871,2.74678
22,0.00815338454712358,2.85382
23,0.010237513030837883,2.93909
24,0.004009700730045424,2.96105
25,0.014831136079977887,3.00021
26,0.032984087173037135,3.03456
